20, 20, 170
W, 9, 170, 3, 7
W, 126, 169, 17, 19
~, 0, 170, 19, 3
~, 0, 170, 9, 6
+, 0, 170, 14, 1
-, 99, 170, 3, 1
x, 10, 168, 17, 7
~, 0, 163, 19, 2
~, 0, 156, 18, 3
~, 0, 152, 19, 1
~, 0, 149, 18, 2
+, 0, 147, 13, 1
~, 0, 146, 18, 1
~, 0, 144, 19, 0
~, 0, 141, 19, 4
+, 0, 136, 17, 14
+, 0, 136, 18, 14
~, 0, 135, 17, 1
+, 0, 133, 14, 2
x, 10, 133, 16, 7
+, 0, 131, 12, 1
+, 0, 131, 11, 1
+, 0, 127, 15, 14
+, 0, 124, 13, 2
+, 0, 123, 17, 15
+, 0, 122, 18, 15
+, 0, 119, 19, 15
~, 0, 113, 17, 2
+, 0, 112, 13, 0
~, 0, 112, 18, 0
+, 0, 112, 19, 16
+, 0, 111, 18, 16
+, 0, 109, 19, 17
+, 0, 108, 13, 3
+, 0, 107, 18, 13
x, 10, 106, 16, 6
+, 0, 106, 12, 0
+, 0, 106, 12, 3
~, 0, 105, 18, 4
+, 0, 103, 14, 0
+, 0, 103, 13, 4
+, 0, 103, 14, 4
+, 0, 102, 15, 1
~, 0, 102, 19, 5
+, 0, 102, 12, 2
+, 0, 100, 17, 16
~, 0, 100, 18, 5
+, 0, 99, 11, 3
+, 0, 98, 14, 3
+, 0, 95, 15, 3
~, 0, 93, 9, 7
+, 0, 93, 11, 0
-, 99, 91, 3, 2
+, 0, 91, 12, 4
~, 0, 90, 9, 8
+, 0, 89, 11, 2
+, 0, 89, 19, 14
~, 0, 89, 17, 0
+, 0, 89, 18, 17
+, 0, 89, 16, 3
~, 0, 88, 17, 3
+, 0, 87, 16, 14
+, 0, 87, 18, 18
+, 0, 86, 15, 13
+, 0, 83, 15, 2
~, 0, 83, 16, 2
x, 10, 83, 15, 6
~, 0, 80, 17, 5
+, 0, 80, 16, 4
~, 0, 80, 16, 1
~, 0, 79, 17, 4
~, 0, 79, 16, 0
+, 0, 78, 11, 4
+, 0, 78, 10, 2
~, 0, 75, 16, 5
+, 0, 74, 13, 5
+, 0, 74, 10, 0
+, 0, 73, 17, 13
~, 0, 72, 18, 6
+, 0, 72, 10, 3
~, 0, 72, 17, 6
+, 0, 71, 15, 4
+, 0, 71, 18, 19
+, 0, 69, 17, 18
+, 0, 65, 10, 1
+, 0, 65, 12, 5
~, 0, 64, 9, 5
+, 0, 63, 16, 15
+, 0, 62, 16, 13
~, 0, 62, 8, 5
~, 0, 61, 15, 0
+, 0, 60, 11, 5
-, 99, 58, 3, 0
+, 0, 58, 10, 15
-, 99, 57, 4, 1
~, 0, 57, 8, 7
+, 0, 57, 15, 12
+, 0, 57, 13, 6
+, 0, 56, 15, 15
+, 0, 56, 17, 17
+, 0, 55, 16, 16
+, 0, 55, 14, 6
+, 0, 53, 10, 4
+, 0, 53, 16, 17
-, 99, 52, 2, 2
~, 0, 52, 19, 6
+, 0, 52, 10, 5
+, 0, 51, 14, 5
+, 0, 51, 19, 19
+, 0, 51, 10, 6
+, 0, 51, 19, 18
+, 0, 50, 10, 16
+, 0, 49, 14, 7
+, 0, 49, 9, 4
+, 0, 49, 14, 8
~, 0, 46, 8, 6
~, 0, 46, 19, 7
~, 0, 45, 10, 7
+, 0, 45, 9, 3
-, 99, 45, 4, 2
-, 99, 45, 2, 1
~, 0, 44, 15, 5
+, 0, 44, 14, 15
~, 0, 44, 7, 5
+, 0, 43, 9, 2
+, 0, 43, 13, 13
+, 0, 42, 15, 17
+, 0, 42, 9, 16
~, 0, 41, 18, 7
+, 0, 40, 14, 14
+, 0, 40, 11, 6
~, 0, 40, 19, 8
+, 0, 40, 9, 1
~, 0, 39, 8, 4
+, 0, 39, 10, 14
~, 0, 38, 10, 8
+, 0, 37, 16, 12
+, 0, 36, 12, 6
+, 0, 36, 15, 16
-, 99, 35, 1, 1
+, 0, 35, 14, 16
~, 0, 35, 7, 4
+, 0, 35, 11, 7
+, 0, 33, 9, 17
~, 0, 32, 18, 8
+, 0, 31, 9, 0
-, 99, 31, 2, 3
+, 0, 31, 8, 3
~, 0, 30, 7, 7
+, 0, 30, 10, 17
~, 0, 30, 7, 6
-, 99, 30, 2, 0
+, 0, 30, 14, 13
+, 0, 29, 8, 0
+, 0, 28, 12, 15
+, 0, 28, 8, 2
+, 0, 28, 8, 17
+, 0, 28, 14, 12
+, 0, 27, 9, 15
+, 0, 26, 13, 15
+, 0, 26, 14, 17
+, 0, 26, 9, 18
+, 0, 26, 10, 18
+, 0, 26, 14, 11
+, 0, 25, 19, 13
+, 0, 25, 9, 14
+, 0, 25, 7, 3
+, 0, 25, 13, 11
+, 0, 24, 18, 12
+, 0, 24, 13, 7
~, 0, 24, 6, 5
~, 0, 24, 18, 9
+, 0, 24, 15, 19
+, 0, 24, 14, 19
+, 0, 23, 17, 12
+, 0, 23, 13, 12
+, 0, 23, 14, 10
+, 0, 22, 15, 11
+, 0, 20, 11, 15
+, 0, 20, 13, 14
+, 0, 20, 12, 7
~, 0, 20, 19, 9
+, 0, 19, 7, 0
+, 0, 19, 7, 17
+, 0, 19, 8, 18
+, 0, 18, 10, 13
-, 99, 18, 0, 1
+, 0, 18, 12, 16
~, 0, 17, 17, 9
~, 0, 16, 8, 8
+, 0, 16, 6, 3
+, 0, 16, 17, 11
~, 0, 14, 16, 9
-, 99, 13, 2, 4
+, 0, 13, 13, 10
+, 0, 13, 8, 19
+, 0, 12, 11, 14
~, 0, 12, 17, 8
+, 0, 12, 19, 12
+, 0, 12, 13, 8
~, 0, 12, 18, 10
+, 0, 12, 14, 9
~, 0, 12, 16, 8
-, 99, 11, 1, 0
+, 0, 11, 15, 10
+, 0, 11, 11, 16
+, 0, 11, 12, 8
+, 0, 10, 8, 14
+, 0, 9, 13, 19
-, 99, 9, 2, 5
+, 0, 8, 13, 16
+, 0, 8, 16, 11
+, 0, 8, 18, 11
+, 0, 8, 8, 15
+, 0, 7, 13, 9
+, 0, 7, 11, 8
+, 0, 6, 15, 7
~, 0, 6, 15, 8
+, 0, 6, 16, 10
+, 0, 6, 8, 16
~, 0, 5, 7, 8
+, 0, 5, 12, 9
+, 0, 4, 12, 11
+, 0, 4, 15, 9
+, 0, 3, 16, 18
~, 0, 3, 10, 9
+, 0, 3, 8, 1
+, 0, 3, 10, 12
+, 0, 3, 11, 17
+, 0, 3, 19, 11
+, 0, 2, 7, 15
+, 0, 1, 7, 18
+, 0, 1, 12, 17
+, 0, 1, 9, 12
